insider_name,insider_role,company_name,company_cik,filing_date,filing
Clark Quentin,['Officer'],"DROPBOX, INC.",0001467623,2018-03-22,0000899243-18-008387
Eastman Ronald W,"['Director', '10% Owner']",pSivida Corp.,0001314102,2018-03-29,0000899243-18-008980
DOVER Corp,['10% Owner'],Apergy Corp,0001723089,2018-04-19,0000899243-18-010413
Fleming Ned N III,"['Director', '10% Owner']","Construction Partners, Inc.",0001718227,2018-05-03,0000899243-18-011423
Todd Stephen M.,['Director'],Apergy Corp,0001723089,2018-05-11,0000899243-18-012531
McVeigh Brian,['Officer'],"ZAFGEN, INC.",0001374690,2018-05-30,0000899243-18-014476
Aaron Schaal,['Director'],"Veoneer, Inc.",0001733186,2018-06-08,0000899243-18-015686
William J. Stein,['10% Owner'],CorePoint Lodging Inc.,0001707178,2018-06-11,0000899243-18-016002
MACKAY GEOFFREY,"['Director', 'Officer', 'President and Chief Executive Officer']","AVROBIO, Inc.",0001681087,2018-06-20,0000899243-18-017458
RIGBY JONATHAN,['Director'],XERIS PHARMACEUTICALS INC,0001346302,2018-06-20,0000899243-18-017486
Daniel Thomas O,['Director'],"Magenta Therapeutics, Inc.",0001690585,2018-06-20,0000899243-18-017505
"GV 2016 GP, L.L.C.",['10% Owner'],"Magenta Therapeutics, Inc.",0001690585,2018-06-20,0000899243-18-017513
Her Majesty the Queen in Right of the Province of Alberta as represented by Alberta Investment Management Corp,['10% Owner'],Bloom Energy Corp,0001664703,2018-07-31,0000899243-18-020887
WELLS FARGO & COMPANY,['10% Owner'],PIMCO MUNICIPAL INCOME FUND II,0001170299,2018-09-11,0000899243-18-024292
Irving Brian Matthew,['Officer'],"Eventbrite, Inc.",0001475115,2018-09-19,0000899243-18-024831
Kluge Kevin,['Officer'],Elastic N.V.,0001707753,2018-10-04,0000899243-18-026224
LEWIS JOSEPH,['10% Owner'],"Esperion Therapeutics, Inc.",0001434868,2018-10-30,0000899243-18-027664
Edwards David McCune,"['Officer', 'Chief Financial Officer']","ROAN RESOURCES, INC.",0001326428,2018-11-07,0000899243-18-028431
AFEYAN NOUBAR,"['Director', '10% Owner']","Moderna, Inc.",0001682852,2018-12-07,0000899243-18-030428
Wraight Georgina,['Officer'],"COVETRUS, INC.",0001752836,2019-02-19,0000899243-19-004107
AFEYAN NOUBAR,"['Director', '10% Owner']","Kaleido Biosciences, Inc.",0001751299,2019-02-27,0000899243-19-005063
DAVIS RICHARD K,['Director'],Dow Inc.,0001751788,2019-04-03,0000899243-19-009930
Townsend Adam J.,['Officer'],"Apellis Pharmaceuticals, Inc.",0001492422,2019-04-13,0000899243-19-010651
Ball George L.,['Officer'],PARSONS CORP,0000275880,2019-05-07,0000899243-19-012495
AKER HAZEL M,['Officer'],GTX INC /DE/,0001260990,2019-06-11,0000899243-19-016449
Douglas Leone,"['Director', '10% Owner']","Health Catalyst, Inc.",0001636422,2019-07-24,0000899243-19-020320
Fink Eric,['Officer'],"Global Blood Therapeutics, Inc.",0001629137,2019-08-09,0000899243-19-021574
John A. Kollins,"['Director', 'Officer']","Satsuma Pharmaceuticals, Inc.",0001692830,2019-09-12,0000899243-19-023446
Burrell Chet,['Director'],EXAGEN INC.,0001274737,2019-09-18,0000899243-19-023875
Greylock XII GP LLC,['10% Owner'],Oportun Financial Corp,0001538716,2019-09-25,0000899243-19-024287
Jacobson Mitchell Lawrence,['Director'],"Juniper Industrial Holdings, Inc.",0001787791,2019-11-07,0000899243-19-026888
Smith Dasha,['Director'],"COHEN & STEERS, INC.",0001284812,2019-11-15,0000899243-19-027363
Takata Akira,['Director'],SITIME Corp,0001451809,2019-11-20,0000899243-19-027743
Carlyle Group Management L.L.C.,['10% Owner'],1Life Healthcare Inc,0001404123,2020-01-30,0000899243-20-002362
Lorton Kenneth Patrick,['Officer'],"Schrodinger, Inc.",0001490978,2020-02-05,0000899243-20-003444
Atlas Technical Consultants Holdings LP,"['10% Owner', 'Director']","ATLAS TECHNICAL CONSULTANTS, INC.",0001751143,2020-02-19,0000899243-20-005132
DUNCAN R FOSTER,['Director'],"ATLAS TECHNICAL CONSULTANTS, INC.",0001751143,2020-02-19,0000899243-20-005143
CARSTAIRS ILFRYN,['Other'],"OneMain Holdings, Inc.",0001584207,2020-02-20,0000899243-20-005312
McLain William Thomas Jr.,['Officer'],EASTMAN CHEMICAL CO,0000915389,2020-03-02,0000899243-20-006592
"BlackRock Internationl, Ltd.",['Other'],"BLACKROCK INCOME TRUST, INC.",0000832327,2020-03-04,0000899243-20-006900
WALKER KELLYE L,['Officer'],EASTMAN CHEMICAL CO,0000915389,2020-04-14,0000899243-20-010707
Shaeffer Daniel,"['Director', 'Officer']","Cottonwood Communities, Inc.",0001692951,2020-04-29,0000899243-20-011536
Noyes Corinne,['Officer'],"Lyra Therapeutics, Inc.",0001327273,2020-04-30,0000899243-20-011658
MERRIFIELD C ANN,['Director'],"Lyra Therapeutics, Inc.",0001327273,2020-04-30,0000899243-20-011666
Boag Simon,['Officer'],Kensington Capital Acquisition Corp.,0001811414,2020-06-25,0000899243-20-017719
Wooldridge James,['Officer'],"Checkmate Pharmaceuticals, Inc.",0001651431,2020-08-06,0000899243-20-021706
Isacoff Oren,['Director'],"Checkmate Pharmaceuticals, Inc.",0001651431,2020-08-06,0000899243-20-021713
Zeng Ling,['Officer'],Dicerna Pharmaceuticals Inc,0001399529,2020-09-16,0000899243-20-025419
BOTHA ROELOF,"['Director', '10% Owner']",Unity Software Inc.,0001810806,2020-09-17,0000899243-20-025608
Park Charles,['Officer'],BlackRock Capital Allocation Trust,0001809541,2020-09-24,0000899243-20-026254
Yan Aileen X.,['Director'],"Academy Sports & Outdoors, Inc.",0001817358,2020-10-02,0000899243-20-026992
DeYoung Casi,['Officer'],"Shattuck Labs, Inc.",0001680367,2020-10-08,0000899243-20-027874
Frank Cannova,['Director'],"Array Technologies, Inc.",0001820721,2020-10-14,0000899243-20-028226
DECICCO CARL,['Officer'],Foghorn Therapeutics Inc.,0001822462,2020-10-22,0000899243-20-029123
"INSIGNIA CAPITAL PARTNERS GP, L.L.C.",['10% Owner'],"MediaAlpha, Inc.",0001818383,2020-10-28,0000899243-20-029440
VRABECK KATHY P,['Director'],"MediaAlpha, Inc.",0001818383,2020-10-27,0000899243-20-029448
Violin Jonathan,['Officer'],"MIRAGEN THERAPEUTICS, INC.",0001590750,2020-10-30,0000899243-20-029993
Zanite Sponsor LLC,"['Director', '10% Owner']",Zanite Acquisition Corp.,0001823652,2020-11-16,0000899243-20-031135
"JPMorgan Chase Bank, N.A.",['10% Owner'],"BLACKROCK MUNIVEST FUND, INC.",0000835948,2020-12-22,0000899243-20-034860
Hynes Thomas J. III,"['Director', 'Officer', 'President']",XL Fleet Corp.,0001772720,2020-12-23,0000899243-20-035018
Wright Frederick Craig,['Officer'],AerSale Corp,0001754170,2020-12-28,0000899243-20-035302
"Qiming Corporate GP IV, Ltd",['10% Owner'],Zai Lab Ltd,0001704292,2021-01-01,0000899243-21-000598
Walker Trent,['Officer'],BLACKROCK MUNICIPAL INCOME INVESTMENT TRUST,0001137392,2021-01-12,0000899243-21-001581
Mat Ishbia,"['Director', 'Officer', '10% Owner']",UWM Holdings Corp,0001783398,2021-02-01,0000899243-21-003930
Seitz Michelle,['Director'],"Sana Biotechnology, Inc.",0001770121,2021-02-03,0000899243-21-004856
STALNECKER SUSAN M,['Director'],Bioventus Inc.,0001665988,2021-02-11,0000899243-21-005991
"William P. Foley, II","['Director', '10% Owner']",Austerlitz Acquisition Corp II,0001839191,2021-02-25,0000899243-21-008305
Jansen Colleen,['Officer'],"ChargePoint Holdings, Inc.",0001777393,2021-03-02,0000899243-21-008985
Anthony P. Lee,"['Director', '10% Owner']",Roblox Corp,0001315098,2021-03-02,0000899243-21-009047
Anthony P. Lee,"['Director', '10% Owner']",Roblox Corp,0001315098,2021-03-02,0000899243-21-009050
Plouffe David,['Director'],"Oscar Health, Inc.",0001568651,2021-03-03,0000899243-21-009675
"Warburg Pincus Capital Corporation I-A Sponsor, L.P.","['Director', '10% Owner']",Warburg Pincus Capital Corp I-A,0001836075,2021-03-04,0000899243-21-010037
Fife Jay M.,['Officer'],BlackRock Innovation & Growth Trust,0001836057,2021-03-25,0000899243-21-013434
BAIN CAPITAL INVESTORS LLC,['10% Owner'],"Diversey Holdings, Ltd.",0001831617,2021-03-25,0000899243-21-013536
Petersen Ryan Roy,['Director'],two,0001843988,2021-03-29,0000899243-21-013855
John Petry,['10% Owner'],Garrett Motion Inc.,0001735707,2021-05-10,0000899243-21-018991
Castellano Michael J,['Director'],BlackRock Innovation & Growth Trust,0001836057,2021-05-12,0000899243-21-019219
Rolle Janet L,['Director'],SKYDECK ACQUISITION CORP.,0001847152,2021-05-18,0000899243-21-019819
Faix Philip,['Officer'],"Marqeta, Inc.",0001522540,2021-06-08,0000899243-21-022549
SPURLOCK STEVEN M,['10% Owner'],"1stdibs.com, Inc.",0001600641,2021-06-09,0000899243-21-022857
Gorcyca Felicia,['Officer'],"LifeStance Health Group, Inc.",0001845257,2021-06-10,0000899243-21-023064
WEAVER GREGORY L,['Officer'],ATAI Life Sciences B.V.,0001840904,2021-06-17,0000899243-21-024472
Holloman James Phillip,['Director'],BlackRock Capital Allocation Trust,0001809541,2021-06-21,0000899243-21-024718
Adam O'Farrell,"['Director', 'Officer', 'Partner', 'Chief Operating Officer']",Bridge Investment Group Holdings Inc.,0001854401,2021-07-16,0000899243-21-028753
Jason Richard Bruce,['Officer'],Holley Inc.,0001822928,2021-07-20,0000899243-21-029035
Murphy Denis,['Officer'],"Couchbase, Inc.",0001845022,2021-07-21,0000899243-21-029341
Fulk Jennifer,['Officer'],"Talkspace, Inc.",0001803901,2021-07-26,0000899243-21-030027
Flores Lorenzo,['Director'],"BLACKROCK MUNIYIELD FUND, INC.",0000879361,2021-08-09,0000899243-21-032066
Starker Fredric S.,"['Officer', 'Chief Financial Officer', 'Treasurer', 'Secretary']","NewLake Capital Partners, Inc.",0001854964,2021-08-16,0000899243-21-033188
Blackstone Tactical Opportunities Fund - FD L.P.,['10% Owner'],Sema4 Holdings Corp.,0001818331,2021-08-30,0000899243-21-034518
ZOGHLIN ALEX D,['Director'],Sierra Lake Acquisition Corp.,0001844135,2021-09-08,0000899243-21-035882
Coleman Mark J,"['Officer', 'Executive Vice President', 'General Counsel']",SOAR Technology Acquisition Corp.,0001844650,2021-09-15,0000899243-21-036169
Kern Peter M,['Director'],SOAR Technology Acquisition Corp.,0001844650,2021-09-15,0000899243-21-036174
Purington Joseph A,['Officer'],"Avangrid, Inc.",0001634997,2021-09-27,0000899243-21-038019
SVF Investments (UK) Ltd,['10% Owner'],Roivant Sciences Ltd.,0001635088,2021-10-01,0000899243-21-038634
Hackwell Paul,['Director'],"Life Time Group Holdings, Inc.",0001869198,2021-10-07,0000899243-21-039608
Gibson Angelic,['Officer'],"AvidXchange Holdings, Inc.",0001858257,2021-10-12,0000899243-21-039988
Enrique T. Salem,['10% Owner'],"AvidXchange Holdings, Inc.",0001858257,2021-10-12,0000899243-21-040005
Highland Management Partners VIII Ltd,['10% Owner'],"Rent the Runway, Inc.",0001468327,2021-10-26,0000899243-21-041649
Marquee Raine Acquisition Sponsor LP,['10% Owner'],"ENJOY TECHNOLOGY, INC./DE",0001830180,2021-10-27,0000899243-21-041734
Khakpour Mehrezad,['Officer'],"Sonendo, Inc.",0001407973,2021-10-28,0000899243-21-041987
Chui James,['Director'],"Vaxxinity, Inc.",0001851657,2021-11-10,0000899243-21-043968
Kremling Ernest C. II,['Officer'],"Perimeter Solutions, SA",0001880319,2021-11-10,0000899243-21-044071
Hahn Rebecca,"['Officer', 'Chief Corporate Responsibility Officer']","Bird Global, Inc.",0001861449,2021-11-12,0000899243-21-044364
Sanberg Joseph N.,['10% Owner'],"Blue Apron Holdings, Inc.",0001701114,2021-11-15,0000899243-21-044508
Kapoor Aarti,"['Director', 'Officer']",VMG Consumer Acquisition Corp.,0001875943,2021-11-16,0000899243-21-044930
"Redpoint Omega II, LLC",['10% Owner'],"HashiCorp, Inc.",0001720671,2021-12-08,0000899243-21-047387
Horning Sandra,['Director'],"EQRx, Inc.",0001843762,2021-12-20,0000899243-21-049095
Thomas Hans,"['Director', 'Officer', '10% Owner']",10X Capital Venture Acquisition Corp. III,0001848948,2022-01-11,0000899243-22-001674
MARAGANORE JOHN,['Director'],"Kymera Therapeutics, Inc.",0001815442,2022-01-19,0000899243-22-002451
PureTech Health plc,['10% Owner'],"GELESIS HOLDINGS, INC.",0001805087,2022-01-21,0000899243-22-002890
Brian D. Finn,['Director'],Owl Rock Technology Income Corp.,0001869453,2022-02-11,0000899243-22-005882
MORTON KRISTINA M,['Officer'],APi Group Corp,0001796209,2022-03-01,0000899243-22-008410
Welch Troy O,['Director'],INTEGRATED RAIL & RESOURCES ACQUISITION CORP,0001854795,2022-03-09,0000899243-22-010125
Paul C. Hilal,['Director'],"DOLLAR TREE, INC.",0000935703,2022-03-22,0000899243-22-011821
John A. Boehner,['Director'],SK Growth Opportunities Corp,0001912461,2022-06-23,0000899243-22-023906
Panama Diego,['Officer'],Olo Inc.,0001431695,2022-07-07,0000899243-22-025680
Wilmer Richard,['Officer'],"ChargePoint Holdings, Inc.",0001777393,2022-07-12,0000899243-22-025986
Fletcher Kyle,['Officer'],Celularity Inc,0001752828,2022-07-15,0000899243-22-026182
Springer Andrew,['Other'],John Hancock Asset-Based Lending Fund,0001885778,2022-07-21,0000899243-22-026479
"Carlyle Group Inc., Carlyle Holdings I GP Inc., Carlyle Holdings I GP Sub L.L.C., Carlyle Holdings I L.P., CG Subsidiary Holdings L.L.C., TC Group, LLC, Carlyle Investment Management LLC, Carlyle Genesis UK LLC",['10% Owner'],"eFFECTOR Therapeutics, Inc.",0001828522,2022-08-11,0000899243-22-028394
Graf Michael,['Officer'],Sixth Street Lending Partners,0001925309,2022-08-27,0000899243-22-029928
COOLEY PHILIP L,['Director'],ABRAXAS PETROLEUM CORP,0000867665,2022-09-23,0000899243-22-031926
Soccio Phillip,['Other'],BlackRock 2037 Municipal Target Term Trust,0001832871,2022-10-26,0000899243-22-034223
Chau Hoi Shuen Solina Holly,['10% Owner'],"Celsius Holdings, Inc.",0001341766,2022-11-30,0000899243-22-037179
ZMSS WSP Business Management LLC,['Other'],"CONSTELLATION BRANDS, INC.",0000016918,2022-12-02,0000899243-22-037420
Lundy Ann Marie,['Director'],"Beachbody Company, Inc.",0001826889,2023-01-05,0000899243-23-001058
Wells David R.,['Director'],"Heart Test Laboratories, Inc.",0001468492,2023-01-06,0000899243-23-001192
Carlyle Global Credit Investment Management L.L.C.,['10% Owner'],Vertical Capital Income Fund,0001517767,2023-01-23,0000899243-23-002406
Lieber Jonathan I,['Officer'],Rallybio Corp,0001739410,2023-02-01,0000899243-23-003154
"Crane Holdings, Co.",['10% Owner'],Crane Co,0001944013,2023-02-07,0000899243-23-004215
Miura Kazuo,['Officer'],AERWINS Technologies Inc.,0001855631,2023-02-06,0000899243-23-004261
Santiago Kristi Manidis,['Other'],"BLACKROCK MUNIHOLDINGS NEW YORK QUALITY FUND, INC.",0001038186,2023-03-10,0000899243-23-008009
HEIDECORN DAVID,['Director'],"BurgerFi International, Inc.",0001723580,2023-03-31,0000899243-23-010084
AlpInvest Partners B.V.,['10% Owner'],Stagwell Inc,0000876883,2023-05-10,0000899243-23-012560
LILLY STEVEN C,['Officer'],KKR FS Income Trust,0001930679,2023-05-30,0000899243-23-014119
Estes Scott Anson,['Officer'],"Savers Value Village, Inc.",0001883313,2023-06-28,0000899243-23-016649
Drumgoole Christopher,['Director'],"Kodiak Gas Services, Inc.",0001767042,2023-06-28,0000899243-23-016687
Hogue Stephanie,"['Director', 'Officer', 'President', 'Chief Financial Officer', 'Treasurer', 'Corporate Secretary']",Mobile Infrastructure Corp,0001847874,2023-08-28,0000899243-23-018531
SOFTBANK GROUP CORP.,['10% Owner'],Better Home & Finance Holding Co,0001835856,2023-09-01,0000899243-23-018645
Gray Adam,['10% Owner'],"MasterCraft Boat Holdings, Inc.",0001638290,2023-09-28,0000899243-23-019613
Guinn Max A,['Director'],TITAN INTERNATIONAL INC,0000899751,2019-06-14,0000899751-19-000043
Schapper Aaron M,['Officer (EVP Infrastructure)'],VALMONT INDUSTRIES INC,0000102729,2020-05-08,0000900440-20-000056
HIGHBRIDGE CAPITAL MANAGEMENT LLC,['10% Owner'],GTY Technology Holdings Inc.,0001682325,2018-11-07,0000902664-18-003965
HIGHBRIDGE CAPITAL MANAGEMENT LLC,['10% Owner'],PARKER DRILLING CO /DE/,0000076321,2019-04-05,0000902664-19-001800
Shea Kenneth,"['10% Owner', 'Other']","AMAG PHARMACEUTICALS, INC.",0000792977,2019-09-16,0000902664-19-003738
DAVIDSON KEMPNER PARTNERS,['10% Owner'],"Contura Energy, Inc.",0001704715,2019-11-21,0000902664-19-004406
Barrett Jonathan Dan,['10% Owner'],Valaris plc,0000314808,2019-11-25,0000902664-19-004425
YOSELOFF ANTHONY ALEXANDER,['10% Owner'],NETSTREIT Corp.,0001798100,2020-08-12,0000902664-20-002982
YOSELOFF ANTHONY ALEXANDER,['10% Owner'],"Radius Global Infrastructure, Inc.",0001810739,2020-10-05,0000902664-20-003516
UBBEN JEFFREY W,['Director'],"AppHarvest, Inc.",0001807707,2021-02-01,0000902664-21-000722
HARBERT RAYMOND J,['10% Owner'],TRANSACT TECHNOLOGIES INC,0001017303,2022-02-10,0000902664-22-001455
"TPG Group Holdings (SBS) Advisors, Inc.",['10% Owner'],"Zscaler, Inc.",0001713683,2018-03-15,0000903423-18-000160
Leathers Eric W,['Director'],ASSURANT INC,0001267238,2018-06-08,0000903423-18-000329
Kurrik Ilomai,['Officer'],"SIGULER GUFF SMALL BUSINESS CREDIT OPPORTUNITIES FUND, INC",0001614173,2018-03-29,0000904454-18-000257
ZELHOF RONALD P.,['Officer'],"Surgery Partners, Inc.",0001638833,2018-04-23,0000904454-18-000315
Choe Michael W.,['Director'],Wayfair Inc.,0001616707,2020-05-14,0000904454-20-000353
Ouimet Paige,['Director'],JAPAN SMALLER CAPITALIZATION FUND INC,0000859796,2021-11-30,0000905148-21-000713
Nathaniel H. August,"['Director', '10% Owner']",Pearl Holdings Acquisition Corp,0001856161,2023-12-20,0000905148-23-001677
FISHER MARY,['Director'],"Dermata Therapeutics, Inc.",0001853816,2021-08-12,0000905718-21-001035
Peter Hebert,['10% Owner'],"Science 37 Holdings, Inc.",0001819113,2021-10-18,0000905718-21-001356
Coulter Curt E,['Director'],CHOICEONE FINANCIAL SERVICES INC,0000803164,2022-09-28,0000905729-22-000190
Bentivoglio Gianfranco,"['Director', 'Officer']","EPHS HOLDINGS, INC.",0001731911,2018-09-13,0000908662-18-000199
Idrovo Javier H,['Officer'],HAIN CELESTIAL GROUP INC,0000910406,2019-12-04,0000910406-19-000132
Thamodaran Dhamu R.,['Director'],StoneX Group Inc.,0000913760,2021-11-01,0000913760-21-000181
Zientek Michael,['Officer'],"EVO Transportation & Energy Services, Inc.",0000728447,2018-10-02,0000914190-18-000417
Jennifer S. Berg,['Officer'],Western Asset Municipal Defined Opportunity Trust Inc.,0001454021,2018-01-10,0000914851-18-000028
CRONIN DANIEL P,['Director'],Clarion Partners Real Estate Income Fund Inc.,0001762562,2019-06-13,0000914851-19-000139
HOFFMANN COURTNEY A.,['Other'],WESTERN ASSET HIGH INCOME OPPORTUNITY FUND INC.,0000910068,2022-07-21,0000914851-22-000044
Hinkle Matthew T.,['Other'],WESTERN ASSET EMERGING MARKETS DEBT FUND INC.,0001227862,2024-01-03,0000914851-24-000012
Murphy Terrence,['Other'],BrandywineGLOBAL-Global Income Opportunities Fund Inc,0001504545,2024-01-05,0000914851-24-000028
Fredriksen John,"['10% Owner', 'Other']","New Mountain Guardian III BDC, L.L.C.",0001781870,2019-09-16,0000919574-19-005887
Kozlowski Daniel R,['10% Owner'],PURE CYCLE CORP,0000276720,2019-10-15,0000919574-19-006435
STEVENSON CRAIG H JR,['Director'],"International Seaways, Inc.",0001679049,2021-07-20,0000919574-21-004622
Hearne Michael S,['Officer'],LA JOLLA PHARMACEUTICAL CO,0000920465,2020-06-01,0000920465-20-000087
LAMPERT MARK N,['10% Owner'],"CONCERT PHARMACEUTICALS, INC.",0001367920,2019-04-02,0000921895-19-000975
MUTCH JOHN,"['Other', '10% Owner']",LEAF GROUP LTD.,0001365038,2021-02-22,0000921895-21-000529
WHITE-IVY NITA C,['Officer'],BLACKBERRY Ltd,0001070235,2020-03-03,0000925421-20-000092
Brittenham Beth A.,['Officer'],"Richmond Mutual Bancorporation, Inc.",0001767837,2019-06-24,0000927089-19-000247
Metzger Andrew,['Officer'],City National Rochdale Select Strategies Fund,0001690996,2023-11-16,0000929638-23-003163
Christina Seix Dow 2012 Trust,['10% Owner'],Lord Abbett Credit Opportunities Fund,0001753712,2019-07-08,0000930413-19-002027
TURNER BRIAN V,['Director'],Iron Horse Acquisitions Corp.,0001901203,2023-12-29,0000930413-23-002764
Jones Laura Davis,['Officer'],"PYXUS INTERNATIONAL, INC.",0000939930,2018-11-26,0000939930-18-000086
FIFTHDELTA Ltd,['10% Owner'],Fisker Inc./DE,0001720990,2023-03-28,0000945621-23-000187
Jennings Nicole H.,['Officer'],DENBURY INC,0000945764,2021-01-19,0000945764-21-000006
Pawlikowski Ellen M,['Director'],RAYTHEON TECHNOLOGIES CORP,0000101829,2020-04-08,0000947871-20-000358
McGuinness Michael J.,['Director'],LatAmGrowth SPAC,0001868269,2022-01-24,0000947871-22-000098
Galbraith Daniel,['Officer'],"BRP Group, Inc.",0001781755,2019-10-23,0000950103-19-014144
Colby Matthew,['Other'],"Goosehead Insurance, Inc.",0001726978,2020-09-18,0000950103-20-018356
Oren Zeev,['Director'],Trepont Acquistion Corp I,0001826991,2020-12-01,0000950103-20-023480
Lebowits Ariel,['Director'],Alpha Capital Acquisition Co,0001836547,2021-02-24,0000950103-21-002947
Caputo Phillip C.,['Officer'],Disruptive Acquisition Corp I,0001838831,2021-03-23,0000950103-21-004467
Pellegrino Thierry,['Officer'],"SMART Global Holdings, Inc.",0001616533,2021-04-09,0000950103-21-005423
Bell Michael,['Officer'],"Lucid Group, Inc.",0001811210,2021-07-27,0000950103-21-011273
Hornung Alexander,['Officer'],Mountain & Co. I Acquisition Corp.,0001856995,2021-11-04,0000950103-21-017420
ALBO PINA,['Director'],REINSURANCE GROUP OF AMERICA INC,0000898174,2019-10-01,0000950138-19-000484
Ginsberg Paul D.,['Director'],CHEESECAKE FACTORY INC,0000887596,2020-04-30,0000950142-20-001286
Wasserman Thomas,"['Director', 'Officer']",Altimar Acquisition Corp. III,0001841004,2021-03-04,0000950142-21-000851
Anderson Michael Ray,['Officer'],G&P Acquisition Corp.,0001839121,2021-03-10,0000950142-21-000907
Weil Edward M Jr.,['Director'],G&P Acquisition Corp.,0001839121,2021-03-10,0000950142-21-000913
"Wynnchurch Partners IV, L.P.","['Director', '10% Owner', 'Other']","Latham Group, Inc.",0001833197,2021-04-22,0000950142-21-001389
Mielle Dominique,['Director'],Osiris Acquisition Corp.,0001832136,2021-05-13,0000950142-21-001612
Keswani Vikas M.,['Director'],Redbox Entertainment Inc.,0001820201,2021-10-26,0000950142-21-003335
New Jason Griffin,['Director'],TERAWULF INC.,0001083301,2021-12-15,0000950142-21-004026
Groupe Bruxelles Lambert,['10% Owner'],Concentrix Corp,0001803599,2023-10-05,0000950170-23-052201
Guido James,['Officer'],"J.Jill, Inc.",0001687932,2023-11-13,0000950170-23-062629
"Madryn Asset Management, LP",['10% Owner'],Greenbrook TMS Inc.,0001735948,2024-01-11,0000950170-24-004098
Brian J. McNamara,['Director'],"Mondelez International, Inc.",0001103982,2024-02-02,0000950170-24-010483
